# H1+ZEUS combined NC ins836107 — Aaron et al., JHEP 01 (2010) 109.
# Fractions are symmetric averages of +/- %% columns on each sigma_r CSV row.
# HEPData ins836107 record text: first sys = uncorrelated experimental; second = correlated experimental;
# sys_3..sys_5 = three correlated combination sources; plus 0.5%% overall normalisation row.
# z_Q2_over_s_x = Q^2/(E_cm^2 * x); equals quoted y for standard DIS kinematics at fixed E_cm.
# sigma_rel_total_quadrature matches sqrt(sum of squared listed components) when none are missing.
Q2_GeV2,x,y_Bjorken,Ecm_GeV,F2,z_Q2_over_s_x,sigma_rel_stat,sigma_rel_sys_uncorrelated_experimental,sigma_rel_sys_correlated_experimental,sigma_rel_sys_combination_1,sigma_rel_sys_combination_2,sigma_rel_sys_combination_3,sigma_rel_sys_overall_normalisation,sigma_rel_total_quadrature_listed_sigma_r,sigma_rel_total_quadrature_rebuilt
1.2,2e-05,0.593,319.0,0.699,0.5896168473187173,0.0262,0.025099999999999997,0.0131,0.0014000000000000002,0.0013,0.006,0.005,0.03940444137403803,0.03940444137403803
1.2,3.2e-05,0.416,301.0,0.68,0.4139027163055595,0.0275,0.0179,0.0202,0.0059,0.015300000000000001,0.005,0.005,0.04246881208604733,0.04246881208604733
1.2,3.2e-05,0.371,319.0,0.698,0.3685105295741984,0.0167,0.0273,0.0127,0.002,0.0016,0.005,0.005,0.035242445999107384,0.035242445999107384
1.2,6.31e-05,0.188,319.0,0.653,0.18688331135300074,0.0139,0.0146,0.0137,0.0038,0.004699999999999999,0.0044,0.005,0.025979799845264395,0.025979799845264395
1.2,8e-05,0.148,319.0,0.6,0.14740421182967933,0.0204,0.013600000000000001,0.018500000000000003,0.0039000000000000003,0.0036,0.0021,0.005,0.031637793854818644,0.031637793854818644
1.2,0.00013,0.091,319.0,0.545,0.0907102842028796,0.0242,0.049699999999999994,0.0155,0.0021,0.0034999999999999996,0.0009,0.005,0.05777932156057217,0.05777932156057217
1.2,0.000158,0.075,319.0,0.534,0.0746350439643946,0.0154,0.013500000000000002,0.0138,0.0069,0.0054,0.0037,0.005,0.026931579975931604,0.026931579975931604
1.2,0.000398,0.03,319.0,0.495,0.029628987302448107,0.021099999999999997,0.0336,0.013000000000000001,0.0017000000000000001,0.0043,0.0067,0.005,0.0428303630617346,0.0428303630617346
1.2,0.0013,0.009,319.0,0.374,0.009071028420287959,0.0354,0.026699999999999998,0.013300000000000001,0.0037,0.0026,0.0009,0.005,0.046788887569592846,0.046788887569592846
1.2,0.005,0.002,319.0,0.299,0.0023584673892748692,0.045,0.026099999999999998,0.0149,0.0014000000000000002,0.0051,0.0058,0.005,0.054907467615980976,0.054907467615980976
1.5,3.2e-05,0.52,301.0,0.847,0.5173783953819494,0.011699999999999999,0.032,0.0212,0.006,0.0518,0.0043,0.005,0.06612911612897907,0.06612911612897907
1.5,3.2e-05,0.463,319.0,0.774,0.460638161967748,0.0173,0.0215,0.0113,0.0017000000000000001,0.002,0.0040999999999999995,0.005,0.030625642850395807,0.030625642850395807
1.5,5e-05,0.296,319.0,0.77,0.2948084236593587,0.0104,0.019799999999999998,0.010700000000000001,0.0032,0.0074,0.0052,0.005,0.027050508313153747,0.027050508313153747
1.5,8e-05,0.185,319.0,0.705,0.18425526478709917,0.0126,0.0215,0.0131,0.0036,0.0032,0.0052,0.005,0.029459463674683554,0.029459463674683554
1.5,0.00013,0.114,319.0,0.649,0.11338785525359951,0.0146,0.024300000000000002,0.0149,0.0034999999999999996,0.0046,0.0054,0.005,0.03336510152839341,0.03336510152839341
1.5,0.0002,0.074,319.0,0.616,0.07370210591483968,0.0207,0.0286,0.0159,0.0036,0.0037,0.0001,0.005,0.039381721648500845,0.039381721648500845
1.5,0.00032,0.046,319.0,0.58,0.04606381619677479,0.0148,0.0226,0.0155,0.002,0.0058,0.0102,0.005,0.03371542673613965,0.03371542673613965
1.5,0.0005,0.03,319.0,0.55,0.029480842365935872,0.025099999999999997,0.0705,0.0183,0.0023,0.0011,0.0029,0.005,0.07729851227546361,0.07729851227546361
1.5,0.0008,0.019,319.0,0.493,0.01842552647870992,0.0236,0.024700000000000003,0.0129,0.0034000000000000002,0.0038,0.0011,0.005,0.03722458864782793,0.03722458864782793
1.5,0.001,0.015,319.0,0.465,0.014740421182967936,0.0521,0.0374,0.0131,0.0038,0.0002,0.005600000000000001,0.005,0.065997121149335,0.065997121149335
1.5,0.0032,0.005,301.0,0.412,0.005173783953819494,0.023,0.0204,0.0134,0.0043,0.0018,0.0060999999999999995,0.005,0.03476578778051779,0.03476578778051779
1.5,0.013,0.001,319.0,0.324,0.0011338785525359949,0.0401,0.024900000000000002,0.0481,0.0029,0.0108,0.014199999999999999,0.005,0.06995226944138411,0.06995226944138411
2.0,5e-05,0.443,301.0,0.863,0.44149623072593014,0.0131,0.016399999999999998,0.012,0.0044,0.0155,0.0039000000000000003,0.005,0.029738695331167436,0.029738695331167436
