Q2_bin,sum_chi2
"(551.955, 1131.693]",1378.3985321747396
"(1131.693, 2320.353]",935.9384418246706
"(269.202, 551.955]",349.1961539297357
"(131.296, 269.202]",214.33804164516982
"(2320.353, 4757.507]",95.82298673733187
"(4757.507, 9754.493]",59.99654349337924
"(1.767, 3.623]",29.44434904088568
"(7.429, 15.233]",25.924033386922837
"(3.623, 7.429]",23.49969505299068
"(0.42, 0.862]",22.872390762100494
"(15.233, 31.232]",22.371314884592017
"(64.037, 131.296]",21.53132259514607
