Q2,n,sum_chi2,mean_abs_rel_res,frac_lt_7pct
650.0,12,648.3910343832501,0.24407181551746718,0.16666666666666666
800.0,10,526.9620802486168,0.25654816371357364,0.0
1200.0,10,485.4358072668933,0.2463256035516282,0.1
1500.0,9,360.6147418343882,0.2640591732670028,0.1111111111111111
500.0,11,234.64301632748422,0.23704690935196987,0.09090909090909091
1000.0,10,203.04541754287268,0.2494416617653677,0.1
200.0,12,113.33008191185692,0.07884901940842813,0.6666666666666666
250.0,12,98.5241865489303,0.07035644936794727,0.5833333333333334
3000.0,8,95.82298673733187,0.1923715485288524,0.125
2000.0,8,89.88789272338909,0.1596144102557703,0.125
300.0,12,61.98915771567804,0.057292329847040246,0.75
5000.0,6,57.58681865026071,0.1689536608618598,0.16666666666666666
400.0,11,52.56397988657346,0.04745124192025207,0.7272727272727273
0.1,1,33.46518588772939,0.31804539741965693,0.0
6.5,13,18.22156547974903,0.020401993950028827,1.0
2.7,13,17.066849130806236,0.023670773604826317,0.9230769230769231
0.5,9,15.81439581845065,0.039834123182464036,0.7777777777777778
22.0,9,12.474525356408996,0.03185452506986949,1.0
90.0,11,11.888356044420748,0.01607384785087592,1.0
10.0,8,10.826391772476924,0.01662871940014724,1.0
3.5,10,8.271245440911706,0.012874964432791935,1.0
27.0,12,7.803066876786726,0.00871811118416556,1.0
1.2,10,6.802599725755145,0.02496987214412618,1.0
8.5,10,6.64679287483253,0.011945189709952697,1.0
35.0,11,6.588857309385228,0.00995227056698451,1.0
15.0,10,6.132040208460334,0.009002589097402943,1.0
0.65,9,5.466702843322293,0.03132450123931317,1.0
4.5,10,5.278129573241651,0.01009010706013601,1.0
120.0,11,4.946699125269712,0.009654019388942238,1.0
70.0,9,4.696267425455608,0.010274821169582084,1.0
0.35,11,4.498193441454549,0.017348772336495694,1.0
1.5,12,4.415631150759582,0.019269564092528783,1.0
2.0,10,4.106254469167739,0.014340923057453695,1.0
0.2,7,3.344448935182943,0.02548738442320663,1.0
0.4,10,3.2494336545653746,0.015544225155254356,1.0
20000.0,3,2.8530440508761594,0.30348159695735255,0.0
0.25,11,2.6740307006899187,0.016422948185296406,1.0
150.0,10,2.4837731843825885,0.009386205685821726,1.0
8000.0,6,2.409724843118534,0.048061521322151246,0.6666666666666666
12.0,10,2.3188085311530493,0.007120394517573718,1.0
60.0,11,2.117082477132384,0.005875502041095521,1.0
18.0,9,2.093722651396296,0.005882689915260791,1.0
45.0,11,1.934258508387967,0.004564871563201748,1.0
0.85,8,1.5912921003275518,0.022823866793403074,1.0
0.15,3,0.5352472186506351,0.013835694180054606,1.0
12000.0,4,0.007712208687604669,0.005525199192215032,1.0
